preprocess,feature_selection,percentage_selection,solver,f1_scores(mean),accuracy(mean),precision(mean),recall(mean),roc_auc(mean)
 standardize, PCA, 0.7, newton-cg, 0.945401150015597, 0.9482017382651658, 0.9588667953613484, 0.9323094485192552, 0.9841907949538365
 standardize, PCA, 0.7, lbfgs, 0.9453915602431836, 0.9481921191809027, 0.9588471138292464, 0.9323094485192552, 0.9841908375772699
 standardize, PCA, 0.7, sag, 0.9453830599433222, 0.9481825005592512, 0.9588084194964104, 0.9323294445200551, 0.9841929335336183
 standardize, PCA, 0.8, newton-cg, 0.9460459659876707, 0.9487596433019835, 0.9584824509763351, 0.93392923455105, 0.9844691868735935
 standardize, PCA, 0.8, lbfgs, 0.9460459659876707, 0.9487596433019835, 0.9584824509763351, 0.93392923455105, 0.9844691108961449
 standardize, PCA, 0.8, sag, 0.9459722804719235, 0.9486923101747531, 0.9584576404554692, 0.9338092525480507, 0.9844660328253031
 standardize, PCA, 0.9, newton-cg, 0.9464741496294368, 0.9491540211306575, 0.958688256721975, 0.9345691445652475, 0.9847253667151069
 standardize, PCA, 0.9, lbfgs, 0.9464645571076181, 0.9491444020463942, 0.9586685960933481, 0.9345691445652475, 0.9847255464799526
 standardize, PCA, 0.9, sag, 0.9466402543286204, 0.9493271651100063, 0.9591546486378579, 0.9344491645616483, 0.9846146920729488
 standardize, ANOVA, 0.7, newton-cg, 0.9477476401028365, 0.9503659938276131, 0.9600166412773812, 0.9357889545978416, 0.9903092019083495
 standardize, ANOVA, 0.7, lbfgs, 0.9477582951843857, 0.9503756129118763, 0.9600174657442601, 0.9358089525980416, 0.9903089091041345
 standardize, ANOVA, 0.7, sag, 0.9477476401028365, 0.9503659938276131, 0.9600166412773812, 0.9357889545978416, 0.9903028919028631
 standardize, ANOVA, 0.8, newton-cg, 0.9520522834772065, 0.9544155649246135, 0.9635274955822133, 0.9408482347126217, 0.9905323105194783
 standardize, ANOVA, 0.8, lbfgs, 0.9520522834772065, 0.9544155649246135, 0.9635274955822133, 0.9408482347126217, 0.9905323846467488
 standardize, ANOVA, 0.8, sag, 0.9520504488069864, 0.9544155639993903, 0.9635657777181172, 0.9408082387122217, 0.9905257630917707
 standardize, ANOVA, 0.9, newton-cg, 0.9543947168677456, 0.9566279667956594, 0.9655583304838788, 0.9434879347498164, 0.9914008817721791
 standardize, ANOVA, 0.9, lbfgs, 0.9544043734352539, 0.9566375858799226, 0.9655781388649185, 0.9434879347498164, 0.991400292467779
 standardize, ANOVA, 0.9, sag, 0.9547162285983342, 0.9569453910250043, 0.9661532542488228, 0.9435479207528157, 0.9909768307319353
