preprocess,feature_selection,percentage_selection,depth,f1_scores(mean),accuracy(mean),precision(mean),recall(mean),roc_auc(mean)
 standardize, PCA, 0.1, 2, 0.937979980338737, 0.9515814973397905, 0.9855290488982484, 0.8948185881736709, 0.9463707340361605
 standardize, PCA, 0.1, 5, 0.9455673715663266, 0.9571669828123033, 0.9851604321691132, 0.9090837435896996, 0.9830549469560725
 standardize, PCA, 0.1, 10, 0.9660142151535901, 0.972532550160326, 0.9783012517912753, 0.9540468563344815, 0.9924037233040803
 standardize, PCA, 0.1, 20, 0.9690863879400873, 0.9747010227364875, 0.9691168504552168, 0.9690610860052649, 0.975795884251764
 standardize, PCA, 0.1, None, 0.9685557153741489, 0.9742519897198048, 0.9680521310481014, 0.9690611218230025, 0.9735409144577988
 standardize, PCA, 0.3, 2, 0.9561365547010953, 0.9652933119567317, 0.9902169344729963, 0.9243388690363108, 0.9613535754493923
 standardize, PCA, 0.3, 5, 0.9750391093536092, 0.9799140567491808, 0.991351998093708, 0.9593728392949809, 0.9918266005291304
 standardize, PCA, 0.3, 10, 0.9953789013942405, 0.9962215677108842, 0.9962753823362647, 0.9944866258000609, 0.9979487034760707
 standardize, PCA, 0.3, 20, 0.9967089621296763, 0.9973058180926632, 0.9964969606892549, 0.9969221782284892, 0.9973734636016666
 standardize, PCA, 0.3, None, 0.9966683524246942, 0.9972729629836937, 0.9965765928160193, 0.9967616001473971, 0.997323767757285
 standardize, PCA, 0.5, 2, 0.9559589749539175, 0.9649866450815983, 0.9852214776858069, 0.9285144543196335, 0.9631019197231163
 standardize, PCA, 0.5, 5, 0.9810488818726665, 0.9846563168665383, 0.9923449312529865, 0.9701583838864881, 0.9922147571192417
 standardize, PCA, 0.5, 10, 0.9954897755100683, 0.9963092041246124, 0.9955352579649264, 0.9954501551767663, 0.9974423845075575
 standardize, PCA, 0.5, 20, 0.9970160295437912, 0.9975577138584791, 0.9969767817566808, 0.997055989714292, 0.997596632607592
 standardize, PCA, 0.5, None, 0.9969494126457595, 0.9975029523448707, 0.9968437526130847, 0.997055989714292, 0.9975503101973648
 standardize, PCA, 0.7, 2, 0.9568545437963196, 0.9650085712773876, 0.966772805419916, 0.9477034705381916, 0.9717749907464576
 standardize, PCA, 0.7, 5, 0.9847655256350833, 0.987580417966428, 0.9889999108989223, 0.9806494851844942, 0.9946862882447917
 standardize, PCA, 0.7, 10, 0.9958687660560728, 0.996615845211277, 0.9953295196768774, 0.9964136666446028, 0.9974079447283849
 standardize, PCA, 0.7, 20, 0.9968691323863513, 0.9974372439261273, 0.9967636354933026, 0.9969757042555198, 0.9974957299028555
 standardize, PCA, 0.7, None, 0.9968691323863513, 0.9974372439261273, 0.9967636354933026, 0.9969757042555198, 0.9974957299028555
 standardize, PCA, 0.8, 2, 0.9584850372050356, 0.9662461814849337, 0.9658184403298933, 0.9517987596174207, 0.9737694804350789
 standardize, PCA, 0.8, 5, 0.985880233982679, 0.9884346837848843, 0.9860804921529439, 0.9857081997689898, 0.995589462980029
 standardize, PCA, 0.8, 10, 0.996415075288418, 0.9970648782279599, 0.9962055390516925, 0.9966277707527255, 0.9976911302716257
 standardize, PCA, 0.8, 20, 0.9969101244136777, 0.9974701050324152, 0.9965245974725327, 0.9972968747447986, 0.9975953401029287
 standardize, PCA, 0.8, None, 0.9969636037655544, 0.9975139142433017, 0.9966048857850414, 0.9973236413400877, 0.9976006768852443
 standardize, PCA, 0.9, 2, 0.9607903789676662, 0.9681736878081914, 0.9687956219633971, 0.9530566212526408, 0.9745947269766836
 standardize, PCA, 0.9, 5, 0.9865649009747036, 0.9890480229327376, 0.9902982977938184, 0.9829248427816226, 0.9959856921206125
 standardize, PCA, 0.9, 10, 0.9962543445994487, 0.9969334589915457, 0.9961800860973036, 0.9963333704405095, 0.9977701204215226
 standardize, PCA, 0.9, 20, 0.9970165847151449, 0.9975577186563337, 0.9967637731372327, 0.9972701117312832, 0.9976306809492577
 standardize, PCA, 0.9, None, 0.9970168313951625, 0.9975577186563337, 0.9966842871452208, 0.9973504115171504, 0.9976418984078357
 standardize, ANOVA, 0.1, 2, 0.9295120483628274, 0.9455031546464125, 0.9873308836294397, 0.8780912176053637, 0.9387018460131745
 standardize, ANOVA, 0.1, 5, 0.9579461167531761, 0.9667280060390115, 0.9920858127710861, 0.9260785580409244, 0.9782197672893884
 standardize, ANOVA, 0.1, 10, 0.9684963368377291, 0.9746134079131054, 0.9838753965270257, 0.9535917060160332, 0.9943320135056709
 standardize, ANOVA, 0.1, 20, 0.9736136233096835, 0.978588966058183, 0.9820583274825326, 0.9653142390407036, 0.9882359641842815
 standardize, ANOVA, 0.1, None, 0.9728786111118211, 0.9780085096069632, 0.9820326560690171, 0.9638957599248803, 0.9857189790611018
 standardize, ANOVA, 0.3, 2, 0.9479865990461318, 0.9593244928903021, 0.9942429106304962, 0.9058451718119562, 0.9525795165111545
 standardize, ANOVA, 0.3, 5, 0.976269669624408, 0.9809874327933763, 0.9976536071292346, 0.9557862480518733, 0.9964313661058755
 standardize, ANOVA, 0.3, 10, 0.9944326933200369, 0.995443983604507, 0.9945131845461482, 0.9943528537137694, 0.9988592985489324
 standardize, ANOVA, 0.3, 20, 0.9964001348328516, 0.9970539211273837, 0.9964406450011598, 0.9963601549446673, 0.9972762468062747
 standardize, ANOVA, 0.3, None, 0.9963996652463931, 0.9970539205276518, 0.9965737573839359, 0.9962263219682219, 0.9971614802748571
 standardize, ANOVA, 0.5, 2, 0.9479865990461318, 0.9593244928903021, 0.9942429106304962, 0.9058451718119562, 0.9525795165111545
 standardize, ANOVA, 0.5, 5, 0.9762830253726312, 0.9809983844963661, 0.9976815010721637, 0.9557862480518733, 0.9964409386769345
 standardize, ANOVA, 0.5, 10, 0.9943936091895045, 0.9954111284955378, 0.9943014298701144, 0.9944866866902148, 0.9988683796880522
 standardize, ANOVA, 0.5, 20, 0.9964671143290813, 0.9971086784428689, 0.9964411219408544, 0.9964939807575652, 0.9974017767447961
 standardize, ANOVA, 0.5, None, 0.9963601273300589, 0.9970210630197549, 0.9963338434637562, 0.9963869143764089, 0.9971851669811125
 standardize, ANOVA, 0.7, 2, 0.9479865990461318, 0.9593244928903021, 0.9942429106304962, 0.9058451718119562, 0.9525795165111545
 standardize, ANOVA, 0.7, 5, 0.9764650985053253, 0.9811407602336246, 0.9976821407196464, 0.9561341851364412, 0.9898840211219463
 standardize, ANOVA, 0.7, 10, 0.9968581995338542, 0.997426294022333, 0.9960502258787753, 0.9976715855882032, 0.998798060209268
 standardize, ANOVA, 0.7, 20, 0.9981935421783475, 0.9985214877108559, 0.9981535631026095, 0.9982336017084774, 0.9986293680704922
 standardize, ANOVA, 0.7, None, 0.9981935421783475, 0.9985214877108559, 0.9981535631026095, 0.9982336017084774, 0.9986160064102407
 standardize, ANOVA, 0.8, 2, 0.9505433044452763, 0.9611972341015604, 0.9924706258555069, 0.9121612430015722, 0.9552902905291824
 standardize, ANOVA, 0.8, 5, 0.9801932824045168, 0.984119624046586, 0.9980304798666275, 0.963092565068651, 0.9918240571791357
 standardize, ANOVA, 0.8, 10, 0.9976179413994413, 0.9980505482895345, 0.9976459027054527, 0.997591285802336, 0.9989074163637325
 standardize, ANOVA, 0.8, 20, 0.9982336428547903, 0.9985543428198254, 0.9982070031748778, 0.9982603647219929, 0.9986612983871538
 standardize, ANOVA, 0.8, None, 0.9982336428547903, 0.9985543428198254, 0.9982070031748778, 0.9982603647219929, 0.9986746637686252
 standardize, ANOVA, 0.9, 2, 0.9576283016074928, 0.9663118653146722, 0.9855100618728649, 0.9314582461171425, 0.9632735972570414
 standardize, ANOVA, 0.9, 5, 0.994463796991232, 0.9954878144057396, 0.9983821481578776, 0.990579207917955, 0.9975697842768627
 standardize, ANOVA, 0.9, 10, 0.9987022327740686, 0.9989376650188374, 0.9985020224629604, 0.9989027021187769, 0.9991281375222572
 standardize, ANOVA, 0.9, 20, 0.9985680363440765, 0.9988281443905483, 0.9986349642571625, 0.9985012461707257, 0.9989342094545138
 standardize, ANOVA, 0.9, None, 0.9985680363440765, 0.9988281443905483, 0.9986349642571625, 0.9985012461707257, 0.9989342094545138
