preprocess,feature_selection,percentage_selection,solver,f1_scores(mean),accuracy(mean),precision(mean),recall(mean),roc_auc(mean)
 standardize, PCA, 0.1, newton-cg, 0.9193610678097203, 0.9373549071027087, 0.971291144320028, 0.8727117945804037, 0.9660898787827504
 standardize, PCA, 0.1, lbfgs, 0.9193610678097203, 0.9373549071027087, 0.971291144320028, 0.8727117945804037, 0.9660898738215838
 standardize, PCA, 0.1, sag, 0.9193610678097203, 0.9373549071027087, 0.971291144320028, 0.8727117945804037, 0.9660902161618019
 standardize, PCA, 0.3, newton-cg, 0.9551844743429625, 0.9641981026751812, 0.9791498420308906, 0.9323680381421655, 0.9826045793935789
 standardize, PCA, 0.3, lbfgs, 0.9551844743429625, 0.9641981026751812, 0.9791498420308906, 0.9323680381421655, 0.9826045719497852
 standardize, PCA, 0.3, sag, 0.9552524472617456, 0.964252862389594, 0.9792335059864946, 0.9324215641691961, 0.982619054127964
 standardize, PCA, 0.5, newton-cg, 0.9736746375779571, 0.9786984650961262, 0.9849439037745163, 0.962664593249474, 0.9923057766875069
 standardize, PCA, 0.5, lbfgs, 0.9736746375779571, 0.9786984650961262, 0.9849439037745163, 0.962664593249474, 0.9923057196338606
 standardize, PCA, 0.5, sag, 0.9737752986650511, 0.9787860769208491, 0.9853467648185242, 0.9624772378277717, 0.9922406763071633
 standardize, PCA, 0.7, newton-cg, 0.974112265969975, 0.9790489267885822, 0.9851962187263178, 0.9632801533056476, 0.992280831499716
 standardize, PCA, 0.7, lbfgs, 0.974112265969975, 0.9790489267885822, 0.9851962187263178, 0.9632801533056476, 0.9922808488621137
 standardize, PCA, 0.7, sag, 0.9739661144553324, 0.9789394037613658, 0.9854857171145378, 0.9627181085311832, 0.9922127246202166
 standardize, PCA, 0.8, newton-cg, 0.9744651021052441, 0.9793336794625629, 0.985527798219118, 0.9636548605672786, 0.9923312884722139
 standardize, PCA, 0.8, lbfgs, 0.9744651021052441, 0.9793336794625629, 0.985527798219118, 0.9636548605672786, 0.9923312686244818
 standardize, PCA, 0.8, sag, 0.9739515997334337, 0.9789284502591803, 0.9855123753422739, 0.962664578922379, 0.992241035367044
 standardize, PCA, 0.9, newton-cg, 0.9763039625776091, 0.9808341053531278, 0.9879990528681939, 0.9648860129155896, 0.9923330819670306
 standardize, PCA, 0.9, lbfgs, 0.9763165553476313, 0.9808450582555812, 0.9880528472402015, 0.9648592499020744, 0.9923339760026263
 standardize, PCA, 0.9, sag, 0.9753585852172201, 0.9800674699510813, 0.9869349627170891, 0.9640563415877459, 0.992367061398137
 standardize, ANOVA, 0.1, newton-cg, 0.940646248180912, 0.9528847589915561, 0.9706975575504788, 0.9124023214478619, 0.9837588850327477
 standardize, ANOVA, 0.1, lbfgs, 0.940646248180912, 0.9528847589915561, 0.9706975575504788, 0.9124023214478619, 0.9837589817920722
 standardize, ANOVA, 0.1, sag, 0.940646248180912, 0.9528847589915561, 0.9706975575504788, 0.9124023214478619, 0.98375907603608
 standardize, ANOVA, 0.3, newton-cg, 0.9779938278556806, 0.9821373897947028, 0.9861554340054927, 0.9699711215909035, 0.9978288190506543
 standardize, ANOVA, 0.3, lbfgs, 0.9779542017469387, 0.9821045334862697, 0.9860747253398363, 0.9699711215909035, 0.997829903306874
 standardize, ANOVA, 0.3, sag, 0.9779938278556806, 0.9821373897947028, 0.9861554340054927, 0.9699711215909035, 0.9978303075444103
 standardize, ANOVA, 0.5, newton-cg, 0.979155461482511, 0.9830902095451627, 0.9878804763612644, 0.9705866995559459, 0.9979030768201287
 standardize, ANOVA, 0.5, lbfgs, 0.9791549354012339, 0.9830902101448945, 0.987907069573619, 0.9705599365424307, 0.9979051929264685
 standardize, ANOVA, 0.5, sag, 0.979155461482511, 0.9830902095451627, 0.9878804763612644, 0.9705866995559459, 0.9979053765361519
 standardize, ANOVA, 0.7, newton-cg, 0.9911610235540982, 0.9927607737910424, 0.990435251300491, 0.9918906206526221, 0.9992774330391635
 standardize, ANOVA, 0.7, lbfgs, 0.9911340123590862, 0.992738869785331, 0.9904345971962544, 0.9918370946255914, 0.9992787702286605
 standardize, ANOVA, 0.7, sag, 0.9825050531385285, 0.9857843866546447, 0.9895521373378825, 0.9755647454318772, 0.9991961699592169
 standardize, ANOVA, 0.8, newton-cg, 0.9915220113800457, 0.9930564739698902, 0.9907816363553197, 0.9922653171689315, 0.9993228557717645
 standardize, ANOVA, 0.8, lbfgs, 0.9915087777155872, 0.9930455222669003, 0.9907551389116108, 0.992265313587158, 0.999328916613511
 standardize, ANOVA, 0.8, sag, 0.9833902835566084, 0.9865072110466093, 0.9906872667613822, 0.9762070577562451, 0.999235568085377
 standardize, ANOVA, 0.9, newton-cg, 0.9926338541442558, 0.9939654911065137, 0.9916406324163164, 0.9936302666759506, 0.9994028032410203
 standardize, ANOVA, 0.9, lbfgs, 0.9926742401681927, 0.9939983468152149, 0.9916414292498217, 0.9937105557164966, 0.9993824773101249
 standardize, ANOVA, 0.9, sag, 0.9811427883916737, 0.9847110843774649, 0.9904575348176341, 0.9720051285269367, 0.9988174835138114
