preprocess,feature_selection,percentage_selection,C_selection,kernel_selection,f1_scores(mean),accuracy(mean),precision(mean),recall(mean),roc_auc(mean)
 standardize, PCA, 0.7, 0.2, poly, 0.9785571379973345, 0.9826959386418199, 0.9925952295484951, 0.9649127866744263, 0.9968319934609802
 standardize, PCA, 0.7, 0.2, rbf, 0.9871890249555124, 0.989562795554219, 0.9906806003558515, 0.9837545714178466, 0.9983245132826513
 standardize, PCA, 0.7, 0.2, sigmoid, 0.8974566199397715, 0.9156481441949158, 0.8929534934801024, 0.9020181181876454, 0.959373089178212
 standardize, PCA, 0.7, 0.5, poly, 0.9790551832274679, 0.983101159448957, 0.9933082286398335, 0.9652071834048686, 0.9983323032233613
 standardize, PCA, 0.7, 0.5, rbf, 0.9918487971384625, 0.9933193232378914, 0.9904200995068593, 0.9932823224278351, 0.9990725266334763
 standardize, PCA, 0.7, 0.5, sigmoid, 0.8918066019788077, 0.9112345257267596, 0.889653886645781, 0.893989049371456, 0.9579485660646394
 standardize, PCA, 0.7, 1, poly, 0.979865671684123, 0.9837582778211054, 0.994324670133736, 0.9658227434610422, 0.999054419008593
 standardize, PCA, 0.7, 1, rbf, 0.9927271177647687, 0.9940421488293196, 0.9917998293696721, 0.9936570153623709, 0.9995135287301951
 standardize, PCA, 0.7, 1, sigmoid, 0.8896684934104601, 0.9095698314881295, 0.8883985197158106, 0.8909647572087496, 0.9574212756123675
 standardize, PCA, 0.7, 2, poly, 0.9810470839088502, 0.9847110945729061, 0.9955095670089408, 0.9670003411281325, 0.9993037736196493
 standardize, PCA, 0.7, 2, rbf, 0.9938299928334468, 0.9949511593688929, 0.9939767508428327, 0.9936837783758863, 0.9995480941641979
 standardize, PCA, 0.7, 2, sigmoid, 0.8883611406488358, 0.9085513015197307, 0.887602749647888, 0.8891448185631013, 0.9571173272248549
 standardize, PCA, 0.7, 5, poly, 0.9824137150648473, 0.9858062906603564, 0.9963672387152483, 0.9688470392055224, 0.9994084946988769
 standardize, PCA, 0.7, 5, rbf, 0.994577547507534, 0.9955644733280092, 0.9950707902300054, 0.9940852271603898, 0.9996013962918028
 standardize, PCA, 0.7, 5, sigmoid, 0.8877610189082237, 0.9080913179995218, 0.8873105541328041, 0.8882348438676164, 0.9569409699345961
