preprocess,feature_selection,percentage_selection,depth,f1_scores(mean),accuracy(mean),precision(mean),recall(mean),roc_auc(mean)
 standardize, PCA, 0.1, 2, 0.6605732928590933, 0.9206471495193966, 0.9714935057092792, 0.5006110963590474, 0.9238214744656922
 standardize, PCA, 0.1, 5, 0.810527260984425, 0.9445220075311532, 0.8572935874962326, 0.7687397297708388, 0.973806171174618
 standardize, PCA, 0.1, 10, 0.8747957092951376, 0.9629414858970847, 0.9140911569199901, 0.8390193687434422, 0.982775725436103
 standardize, PCA, 0.1, 20, 0.8889439815729538, 0.9659513251935034, 0.8951974780873018, 0.8827948944683198, 0.9415574900582078
 standardize, PCA, 0.1, None, 0.8865782759761963, 0.9651204936214196, 0.8900112966429216, 0.8832018623692616, 0.931992264858436
 standardize, PCA, 0.3, 2, 0.8784797987388504, 0.9656221236748976, 0.9663893638468265, 0.8053026478951668, 0.9011262336233063
 standardize, PCA, 0.3, 5, 0.9423548428042459, 0.982615155504825, 0.9642598315750694, 0.9215953368583605, 0.9915512964168982
 standardize, PCA, 0.3, 10, 0.9776814908875163, 0.9931024826359701, 0.9766126131875545, 0.9787732699481557, 0.9909193079578597
 standardize, PCA, 0.3, 20, 0.9786527143269208, 0.9934003288206348, 0.9773299005508302, 0.9799919049841064, 0.9880198934934461
 standardize, PCA, 0.3, None, 0.978704488370021, 0.9934160040302908, 0.9773324015588898, 0.980093427826746, 0.988071389255618
 standardize, PCA, 0.5, 2, 0.8797811645313592, 0.9660453875093544, 0.9696633614708803, 0.8052010734919165, 0.9011673755402775
 standardize, PCA, 0.5, 5, 0.9524549702836376, 0.9854368357671376, 0.9606298016206629, 0.9446494265171065, 0.9832816656212158
 standardize, PCA, 0.5, 10, 0.9791737373264319, 0.9936041311193076, 0.9843174713066395, 0.9741016723684108, 0.988340584461392
 standardize, PCA, 0.5, 20, 0.9820639015583238, 0.9944663217113044, 0.9827194198988259, 0.9814140497508334, 0.9864889977426037
 standardize, PCA, 0.5, None, 0.9816336954547031, 0.9943252300805134, 0.9808437856027183, 0.9824296906621155, 0.9894630611063844
 standardize, PCA, 0.7, 2, 0.822174826484779, 0.9497739129298008, 0.8879722796347405, 0.7897903287762347, 0.9378533388949626
 standardize, PCA, 0.7, 5, 0.9506145388908382, 0.9850135608747651, 0.9671029373009091, 0.9348986962899563, 0.9866336491150094
 standardize, PCA, 0.7, 10, 0.980040916948315, 0.9938549406170891, 0.9824423382228895, 0.9776561061942338, 0.9880261542247206
 standardize, PCA, 0.7, 20, 0.9823265884479511, 0.9945446928449548, 0.9823258222795618, 0.9823280131376435, 0.9874532987563484
