preprocess,feature_selection,percentage_selection,C_selection,kernel_selection,f1_scores(mean),accuracy(mean),precision(mean),recall(mean),roc_auc(mean)
 standardize, PCA, 0.1, 0.2, poly, 0.6704274715299671, 0.922089397816757, 0.9650249877626891, 0.5138157687815971, 0.9237596597426165
 standardize, PCA, 0.1, 0.2, rbf, 0.7046201068250203, 0.9278738720880039, 0.9573611580380579, 0.5574863686635232, 0.948851816932925
 standardize, PCA, 0.1, 0.2, sigmoid, 0.3714028639786504, 0.8059118774312133, 0.3691337538640672, 0.37383309314682145, 0.7959311875806497
 standardize, PCA, 0.1, 0.5, poly, 0.6704274715299671, 0.922089397816757, 0.9650249877626891, 0.5138157687815971, 0.9237682981975031
 standardize, PCA, 0.1, 0.5, rbf, 0.7100432079087022, 0.9289398686646452, 0.9586376854193647, 0.5638855560682973, 0.9251623036402232
 standardize, PCA, 0.1, 0.5, sigmoid, 0.36990949414862395, 0.8054729543596452, 0.3685808457539387, 0.37139633868102806, 0.7954635960621779
 standardize, PCA, 0.1, 1, poly, 0.6704274715299671, 0.922089397816757, 0.9650249877626891, 0.5138157687815971, 0.9237634969388033
 standardize, PCA, 0.1, 1, rbf, 0.7127512854097786, 0.929519887052976, 0.9603314836261452, 0.5667294846774755, 0.9175296798776612
 standardize, PCA, 0.1, 1, sigmoid, 0.4564578622309411, 0.83284402425512, 0.4576274480558398, 0.4555003054966189, 0.8241226501797335
 standardize, PCA, 0.1, 2, poly, 0.6703827418361341, 0.9220737213784439, 0.9648481108598647, 0.5138157687815971, 0.9237660954043386
 standardize, PCA, 0.1, 2, rbf, 0.7145577628076367, 0.9298490824282952, 0.9601705136539873, 0.5690653350279588, 0.948163382611118
 standardize, PCA, 0.1, 2, sigmoid, 0.4557893178548249, 0.8327342965588713, 0.4574234780922454, 0.45438329642452946, 0.8240030966072724
 standardize, PCA, 0.1, 5, poly, 0.6703827418361341, 0.9220737213784439, 0.9648481108598647, 0.5138157687815971, 0.9237671218088824
 standardize, PCA, 0.1, 5, rbf, 0.7174066981148994, 0.9303507272256608, 0.9592868586657634, 0.573026633633502, 0.9651229867891834
 standardize, PCA, 0.1, 5, sigmoid, 0.45559108688997263, 0.8326872672439316, 0.45732471693829924, 0.4540785732147783, 0.8239202489423517
 standardize, PCA, 0.3, 0.2, poly, 0.9485640867148095, 0.9844022006677235, 0.9657279548750838, 0.9320543551958916, 0.9964198976495494
 standardize, PCA, 0.3, 0.2, rbf, 0.957138941398615, 0.9868320117465534, 0.9615934020605647, 0.9527733679133163, 0.9975045965365755
 standardize, PCA, 0.3, 0.2, sigmoid, 0.4363355652647731, 0.8254614035067671, 0.4349803232372885, 0.4377438107931827, 0.7799124890030444
 standardize, PCA, 0.3, 0.5, poly, 0.9532072151608846, 0.9857660200845413, 0.9672999656446969, 0.9395697782635933, 0.9965309409494119
 standardize, PCA, 0.3, 0.5, rbf, 0.9640680720470476, 0.9889169546977227, 0.9645538058401575, 0.96364136501561, 0.9979499880221223
 standardize, PCA, 0.3, 0.5, sigmoid, 0.4337558717431578, 0.8248343570321544, 0.43285198951078013, 0.4346967849381144, 0.7794930001509062
 standardize, PCA, 0.3, 1, poly, 0.9553737322919386, 0.9864087466834391, 0.968421053196104, 0.9427183269613012, 0.9967476157495311
 standardize, PCA, 0.3, 1, rbf, 0.9672127342820669, 0.9898888803579118, 0.9678854583666541, 0.9665866617855954, 0.998165814397146
 standardize, PCA, 0.3, 1, sigmoid, 0.4327102391664458, 0.8245365108474896, 0.4318785207353189, 0.43357951806297096, 0.7793727636357178
 standardize, PCA, 0.3, 2, poly, 0.9579612251500216, 0.9871768786455568, 0.969444483743402, 0.9467807359245978, 0.9969984392296303
 standardize, PCA, 0.3, 2, rbf, 0.9691595643497877, 0.9904845727272411, 0.9694419479469717, 0.9689224605754679, 0.9983769130813673
 standardize, PCA, 0.3, 2, sigmoid, 0.4322150282136182, 0.8244267770079544, 0.4314945030020576, 0.43297012320407946, 0.7792853497671202
 standardize, PCA, 0.3, 5, poly, 0.963689640661134, 0.9888542354292396, 0.9690090626393119, 0.9584608126467866, 0.9967726403758459
 standardize, PCA, 0.3, 5, rbf, 0.9709449721284006, 0.9910332431535747, 0.9708655214365726, 0.9710553683618934, 0.998658044456232
 standardize, PCA, 0.3, 5, sigmoid, 0.4320802925667997, 0.8244111017982985, 0.43142981182487283, 0.4327669743975787, 0.7792468051065976
 standardize, PCA, 0.5, 0.2, poly, 0.9524015080069785, 0.9856092753599256, 0.9724877386652147, 0.9331717251922568, 0.9979186003031719
 standardize, PCA, 0.5, 0.2, rbf, 0.959612937188054, 0.9875688092619036, 0.9620371026707456, 0.9572428994593871, 0.9973953255855162
 standardize, PCA, 0.5, 0.2, sigmoid, 0.561907889986802, 0.8631312114692307, 0.555333039737544, 0.5686575421572444, 0.8696040941774441
 standardize, PCA, 0.5, 0.5, poly, 0.95762070960219, 0.9871141814929046, 0.97217355880309, 0.9435308706266934, 0.9980947290748172
 standardize, PCA, 0.5, 0.5, rbf, 0.9638878396459685, 0.9888699278400976, 0.9650851348289649, 0.9627271438257458, 0.9977820337458884
 standardize, PCA, 0.5, 0.5, sigmoid, 0.5517266385078928, 0.8607797813533097, 0.5484709085298596, 0.5550477580157415, 0.8686953695522751
 standardize, PCA, 0.5, 1, poly, 0.964802969470329, 0.9892147984250727, 0.9716886763674962, 0.9580549275186714, 0.9977772652281047
