preprocess,feature_selection,percentage_selection,depth,f1_scores(mean),accuracy(mean),precision(mean),recall(mean),roc_auc(mean)
 standardize, PCA, 0.1, 2, 0.0, 0.9514588811688529, 0.0, 0.0, 0.8602870041604305
 standardize, PCA, 0.1, 5, 0.2100401355706368, 0.9545302356912743, 0.6729827050636109, 0.12472727272727273, 0.930019594163686
 standardize, PCA, 0.1, 10, 0.634225062048792, 0.9678040442831424, 0.7103222205581885, 0.5752727272727272, 0.9513482132013603
 standardize, PCA, 0.1, 20, 0.6783333837345975, 0.9692161106114237, 0.6882322976158207, 0.6690909090909091, 0.8500936854437844
 standardize, PCA, 0.1, None, 0.6818226000243192, 0.9690219405277588, 0.6799526258572994, 0.6839999999999999, 0.8376834334917869
 standardize, PCA, 0.3, 2, 0.23311377101499633, 0.9559423020195554, 0.7505914003777474, 0.13818181818181818, 0.7931810984383129
 standardize, PCA, 0.3, 5, 0.6605653656834038, 0.9715991130410032, 0.7833452974844061, 0.5785454545454545, 0.9583239209710166
 standardize, PCA, 0.3, 10, 0.8673020574329067, 0.9873793309141135, 0.8863042009709519, 0.8501818181818181, 0.9719407600160004
 standardize, PCA, 0.3, 20, 0.8694231982613934, 0.9873793324719857, 0.8740391395905329, 0.865090909090909, 0.9330656449461971
 standardize, PCA, 0.3, None, 0.8694592357446471, 0.9874146276260761, 0.8760020537173541, 0.8632727272727273, 0.9308368230582627
 standardize, PCA, 0.5, 2, 0.2940775537187781, 0.9580427142091894, 0.624397966576787, 0.19345454545454546, 0.8480418546655475
 standardize, PCA, 0.5, 5, 0.8223358388735754, 0.9836195869099159, 0.8716683540340838, 0.7850909090909091, 0.9645690584916597
 standardize, PCA, 0.5, 10, 0.8916918945228087, 0.9897622601236966, 0.9163380023387646, 0.8694545454545455, 0.9674402795742572
 standardize, PCA, 0.5, 20, 0.891268463228398, 0.9894798428075726, 0.8943789362747883, 0.8883636363636365, 0.9477965766360986
 standardize, PCA, 0.5, None, 0.8909188893492519, 0.9894445523270988, 0.8937066823471923, 0.8883636363636365, 0.9434540434281938
 standardize, PCA, 0.7, 2, 0.49267403361198114, 0.9629498093281186, 0.7623585750221054, 0.37527272727272726, 0.7903543143911358
 standardize, PCA, 0.7, 5, 0.8325941607366127, 0.9845727305520484, 0.875865047268704, 0.796, 0.9609570740545423
 standardize, PCA, 0.7, 10, 0.8861532044058797, 0.9893739121670058, 0.9234581394264527, 0.852, 0.9588593879379854
 standardize, PCA, 0.7, 20, 0.8897905037649496, 0.9893562599163438, 0.8954422810278692, 0.8843636363636364, 0.946309382303647
 standardize, PCA, 0.7, None, 0.8874842555692692, 0.9890915073138598, 0.8896661995084048, 0.8854545454545455, 0.9426116638406844
 standardize, PCA, 0.8, 2, 0.4547322168694521, 0.9632675498400338, 0.8345154377672033, 0.32799999999999996, 0.8536205818898708
 standardize, PCA, 0.8, 5, 0.8323028476954365, 0.9843432528513152, 0.8675976332718299, 0.8, 0.9661592304346447
 standardize, PCA, 0.8, 10, 0.8949206121853006, 0.9901506034067706, 0.9269551277244105, 0.8654545454545456, 0.9580501090564788
 standardize, PCA, 0.8, 20, 0.8993373787238619, 0.9902035352328002, 0.8972565484171001, 0.9014545454545454, 0.9520599240691754
 standardize, PCA, 0.8, None, 0.8969832482375575, 0.9899564239758722, 0.8933163571184751, 0.9007272727272728, 0.9501307013868108
 standardize, PCA, 0.9, 2, 0.4508386479486801, 0.9624909193572873, 0.8115330093840285, 0.32945454545454544, 0.8313034920601197
 standardize, PCA, 0.9, 5, 0.8274750173866732, 0.9842197057911486, 0.8799126857061956, 0.7818181818181819, 0.9618681808693477
 standardize, PCA, 0.9, 10, 0.8950840357501371, 0.990132935577386, 0.9246221975236036, 0.868, 0.9571197939476397
 standardize, PCA, 0.9, 20, 0.8958490354694705, 0.9899034609923975, 0.8976411743458975, 0.8941818181818182, 0.9501646871837724
 standardize, PCA, 0.9, None, 0.8925629868194559, 0.989550444020859, 0.8914058039207908, 0.8938181818181817, 0.9460922882561601
 standardize, ANOVA, 0.1, 2, 0.4781569848179717, 0.9660212090288358, 0.9380463472608263, 0.3210909090909091, 0.6634154510249904
 standardize, ANOVA, 0.1, 5, 0.7624165824514411, 0.9791184810932337, 0.8542146825769459, 0.6898181818181819, 0.9346936256883527
