preprocess,feature_selection,percentage_selection,solver,f1_scores(mean),accuracy(mean),precision(mean),recall(mean),roc_auc(mean)
 standardize, PCA, 0.1, newton-cg, 0.0, 0.9514588811688529, 0.0, 0.0, 0.6918134032375098
 standardize, PCA, 0.1, lbfgs, 0.0, 0.9514588811688529, 0.0, 0.0, 0.6918132683075047
 standardize, PCA, 0.1, sag, 0.0, 0.9514588811688529, 0.0, 0.0, 0.6918136730631022
 standardize, PCA, 0.3, newton-cg, 0.13639270667318176, 0.9495172255105011, 0.4027565030661308, 0.08218181818181818, 0.829998640235396
 standardize, PCA, 0.3, lbfgs, 0.13639270667318176, 0.9495172255105011, 0.4027565030661308, 0.08218181818181818, 0.8299978643909958
 standardize, PCA, 0.3, sag, 0.13639270667318176, 0.9495172255105011, 0.4027565030661308, 0.08218181818181818, 0.8300003942409818
 standardize, PCA, 0.5, newton-cg, 0.2906627481259151, 0.9524296864088809, 0.5265090871999032, 0.20145454545454547, 0.9305095457659476
 standardize, PCA, 0.5, lbfgs, 0.2906627481259151, 0.9524296864088809, 0.5265090871999032, 0.20145454545454547, 0.9305105576533768
 standardize, PCA, 0.5, sag, 0.2922023258315378, 0.9526238455874397, 0.5313915068222836, 0.20218181818181818, 0.9296295381865385
 standardize, PCA, 0.7, newton-cg, 0.5168970969306, 0.9629498560642865, 0.7046680423330142, 0.4087272727272728, 0.9650794306710351
 standardize, PCA, 0.7, lbfgs, 0.5168970969306, 0.9629498560642865, 0.7046680423330142, 0.4087272727272728, 0.9650779128367624
 standardize, PCA, 0.7, sag, 0.5180838321826334, 0.9630910616066041, 0.7083695446055944, 0.40909090909090906, 0.9627750366020793
 standardize, PCA, 0.8, newton-cg, 0.5198149957392766, 0.9634441019462265, 0.7176528075801231, 0.40800000000000003, 0.969342319376825
 standardize, PCA, 0.8, lbfgs, 0.5204788096105389, 0.9635147093910019, 0.7190722923744062, 0.4083636363636364, 0.9689944994605725
 standardize, PCA, 0.8, sag, 0.5217286659798852, 0.9634617495232716, 0.7161233187230932, 0.41090909090909095, 0.9641129055368408
 standardize, PCA, 0.9, newton-cg, 0.6028898197697183, 0.9699573929724228, 0.8401415771272527, 0.4709090909090909, 0.9771269189020888
 standardize, PCA, 0.9, lbfgs, 0.5912208361805809, 0.9690748567750658, 0.8237678883347564, 0.4618181818181818, 0.9746064065266398
 standardize, PCA, 0.9, sag, 0.5221187036634355, 0.9639206768830372, 0.7319157784800222, 0.40618181818181825, 0.967380522549955
 standardize, ANOVA, 0.1, newton-cg, 0.5541313567372722, 0.9649621207252862, 0.7243988108182485, 0.4490909090909091, 0.9699858319740027
 standardize, ANOVA, 0.1, lbfgs, 0.5541313567372722, 0.9649621207252862, 0.7243988108182485, 0.4490909090909091, 0.9699828975217344
 standardize, ANOVA, 0.1, sag, 0.5542625265869291, 0.9649797729759481, 0.7247743233781407, 0.4490909090909091, 0.9699085538642667
 standardize, ANOVA, 0.3, newton-cg, 0.7180497869465892, 0.9756235442170496, 0.8175759550185091, 0.6403636363636365, 0.9868987654392642
 standardize, ANOVA, 0.3, lbfgs, 0.7168769669642598, 0.9755705874650638, 0.8185437090374934, 0.6378181818181818, 0.9868801475422246
 standardize, ANOVA, 0.3, sag, 0.6835479963516257, 0.9739466333718205, 0.8323757387187071, 0.58, 0.9825224172918163
 standardize, ANOVA, 0.5, newton-cg, 0.7541053110586684, 0.9783771551118112, 0.8412507653207513, 0.6836363636363636, 0.9886586213785492
 standardize, ANOVA, 0.5, lbfgs, 0.7515522206723471, 0.9782359417801324, 0.8420398879571069, 0.6789090909090909, 0.9886670222481975
 standardize, ANOVA, 0.5, sag, 0.6690887829160004, 0.972975818784559, 0.8248064667496806, 0.5629090909090909, 0.9862473303772783
 standardize, ANOVA, 0.7, newton-cg, 0.7595538935953648, 0.9788537347222388, 0.8468484830399904, 0.6890909090909091, 0.9894428983502628
 standardize, ANOVA, 0.7, lbfgs, 0.7584473345897241, 0.9788007795281253, 0.8482320906619822, 0.6861818181818181, 0.9894319014985307
 standardize, ANOVA, 0.7, sag, 0.6686304042482943, 0.9730640847114855, 0.8298969199489731, 0.56, 0.9869326462183545
 standardize, ANOVA, 0.8, newton-cg, 0.7595538935953648, 0.9788537347222388, 0.8468484830399904, 0.6890909090909091, 0.989442932082764
 standardize, ANOVA, 0.8, lbfgs, 0.7584473345897241, 0.9788007795281253, 0.8482320906619822, 0.6861818181818181, 0.9894317328516686
 standardize, ANOVA, 0.8, sag, 0.6686304042482943, 0.9730640847114855, 0.8298969199489731, 0.56, 0.9869393928437628
 standardize, ANOVA, 0.9, newton-cg, 0.7595538935953648, 0.9788537347222388, 0.8468484830399904, 0.6890909090909091, 0.989442932082764
 standardize, ANOVA, 0.9, lbfgs, 0.7584473345897241, 0.9788007795281253, 0.8482320906619822, 0.6861818181818181, 0.9894305185942631
 standardize, ANOVA, 0.9, sag, 0.6686304042482943, 0.9730640847114855, 0.8298969199489731, 0.56, 0.9869393586857333
