preprocess,feature_selection,percentage_selection,C_selection,kernel_selection,f1_scores(mean),accuracy(mean),precision(mean),recall(mean),roc_auc(mean)
 standardize, PCA, 0.7, 1, rbf, 0.8130603908833305, 0.9840079364244791, 0.9394214204723287, 0.7167272727272727, 0.9802463292062775
 standardize, PCA, 0.7, 10, rbf, 0.8745175887724826, 0.9879441608727448, 0.8844113466530527, 0.8654545454545455, 0.9887313430349293
 standardize, PCA, 0.7, 100, rbf, 0.8978865386220809, 0.9901329418088751, 0.9026329493155794, 0.8938181818181817, 0.9939761417114863
 standardize, PCA, 0.8, 1, rbf, 0.8044312726642124, 0.9834430955607416, 0.9423601371645478, 0.7018181818181818, 0.9790558481983626
 standardize, PCA, 0.8, 10, rbf, 0.8708304720211318, 0.9875734854190557, 0.8795300624817871, 0.8629090909090908, 0.9890967648713405
 standardize, PCA, 0.8, 100, rbf, 0.8975245653849184, 0.9900976404232956, 0.9022499075491254, 0.8934545454545454, 0.9942685119318984
 standardize, PCA, 0.7, 10, rbf, 0.8745175887724826, 0.9879441608727448, 0.8844113466530527, 0.8654545454545455, 0.9887313430349293
 standardize, PCA, 0.7, 100, rbf, 0.8978865386220809, 0.9901329418088751, 0.9026329493155794, 0.8938181818181817, 0.9939761417114863
 standardize, PCA, 0.7, 1000, rbf, 0.9147188168481917, 0.9917392156097555, 0.9174062590426812, 0.9123636363636365, 0.9938891462290164
 standardize, PCA, 0.8, 10, rbf, 0.8708304720211318, 0.9875734854190557, 0.8795300624817871, 0.8629090909090908, 0.9890967648713405
 standardize, PCA, 0.8, 100, rbf, 0.8975245653849184, 0.9900976404232956, 0.9022499075491254, 0.8934545454545454, 0.9942685119318984
 standardize, PCA, 0.8, 1000, rbf, 0.9153771162023944, 0.991809827728148, 0.918762641222395, 0.9123636363636365, 0.9941761038832755
 standardize, PCA, 0.9, 10, rbf, 0.8740793481472405, 0.9879088594871656, 0.8845732552575726, 0.8643636363636364, 0.9905350352122289
 standardize, PCA, 0.9, 100, rbf, 0.8991068785841563, 0.990274148909065, 0.9057004924062826, 0.8930909090909089, 0.9945344930860965
 standardize, PCA, 0.9, 1000, rbf, 0.9183731138280906, 0.9921098910634448, 0.9229586562575236, 0.9141818181818181, 0.9949505185523361
 standardize, ANOVA, 0.7, 10, rbf, 0.8958474526397879, 0.9899564333231059, 0.9020939560288099, 0.8901818181818182, 0.9944463207270013
 standardize, ANOVA, 0.7, 100, rbf, 0.9207372147196512, 0.9923570085518619, 0.9272527637628564, 0.9145454545454544, 0.9958786790222968
 standardize, ANOVA, 0.7, 1000, rbf, 0.9244526424230834, 0.9926570890237538, 0.9232125734305165, 0.9258181818181818, 0.9948815004811674
 standardize, ANOVA, 0.8, 10, rbf, 0.8958474526397879, 0.9899564333231059, 0.9020939560288099, 0.8901818181818182, 0.9944463207270013
 standardize, ANOVA, 0.8, 100, rbf, 0.9207372147196512, 0.9923570085518619, 0.9272527637628564, 0.9145454545454544, 0.9958786790222968
 standardize, ANOVA, 0.8, 1000, rbf, 0.9244526424230834, 0.9926570890237538, 0.9232125734305165, 0.9258181818181818, 0.9948815004811674
 standardize, ANOVA, 0.9, 10, rbf, 0.8958474526397879, 0.9899564333231059, 0.9020939560288099, 0.8901818181818182, 0.9944466580207252
 standardize, ANOVA, 0.9, 100, rbf, 0.9207372147196512, 0.9923570085518619, 0.9272527637628564, 0.9145454545454544, 0.9958786790222968
 standardize, ANOVA, 0.9, 1000, rbf, 0.9244526424230834, 0.9926570890237538, 0.9232125734305165, 0.9258181818181818, 0.9948811631874437
