preprocess,feature_selection,percentage_selection,depth,f1_scores(mean),accuracy(mean),precision(mean),recall(mean),roc_auc(mean)
 standardize, PCA, 0.1, 2, 0.0, 0.9985561177489064, 0.0, 0.0, 0.8019822658880958
 standardize, PCA, 0.1, 5, 0.0, 0.9984635594371699, 0.0, 0.0, 0.9092753807890752
 standardize, PCA, 0.1, 10, 0.01666666666666667, 0.9982229095399051, 0.02222222222222222, 0.013333333333333332, 0.8553169895263695
 standardize, PCA, 0.1, 20, 0.0380578093306288, 0.997389907006523, 0.03731203007518797, 0.03916666666666666, 0.5382121837056261
 standardize, PCA, 0.1, None, 0.05045454545454545, 0.997389907006523, 0.04870915032679739, 0.05249999999999999, 0.5256104597275002
 standardize, PCA, 0.3, 2, 0.36259754738015604, 0.9987227227100319, 0.47853535353535354, 0.29333333333333333, 0.7334595035066579
 standardize, PCA, 0.3, 5, 0.4539130434782609, 0.9987967607931729, 0.6791208791208792, 0.355, 0.7988456220842217
 standardize, PCA, 0.3, 10, 0.4489424553940684, 0.9985190875712133, 0.4727272727272728, 0.4333333333333333, 0.774368029165508
 standardize, PCA, 0.3, 20, 0.4027240143369176, 0.9983895076480321, 0.43393939393939396, 0.38083333333333336, 0.6900459186826089
 standardize, PCA, 0.3, None, 0.4027240143369176, 0.9983895076480321, 0.43393939393939396, 0.38083333333333336, 0.6900459186826089
 standardize, PCA, 0.5, 2, 0.46695652173913044, 0.9987782508440752, 0.6074242424242424, 0.3808333333333333, 0.7216092007291378
 standardize, PCA, 0.5, 5, 0.47909843779409, 0.9989263407163541, 0.7452380952380953, 0.35416666666666663, 0.7214287314239811
 standardize, PCA, 0.5, 10, 0.4589130434782609, 0.9986856942455885, 0.5655042016806723, 0.4091666666666667, 0.7688769039453763
 standardize, PCA, 0.5, 20, 0.4678379194241263, 0.998648674347393, 0.5221367521367521, 0.4341666666666666, 0.71680527234529
 standardize, PCA, 0.5, None, 0.4678379194241263, 0.998648674347393, 0.5221367521367521, 0.4341666666666666, 0.71680527234529
 standardize, PCA, 0.7, 2, 0.3922620561064497, 0.9987782491308256, 0.6214285714285714, 0.30166666666666664, 0.7039046714245991
 standardize, PCA, 0.7, 5, 0.44187012987012997, 0.9988337841178675, 0.692063492063492, 0.32749999999999996, 0.6994539191151482
 standardize, PCA, 0.7, 10, 0.45254288240495144, 0.9986486709208939, 0.5431457431457432, 0.395, 0.8204150832638181
 standardize, PCA, 0.7, 20, 0.40767145567904584, 0.9983154627118924, 0.4153389695959356, 0.4074999999999999, 0.7033051024191306
 standardize, PCA, 0.7, None, 0.40767145567904584, 0.9983154627118924, 0.4153389695959356, 0.4074999999999999, 0.7033051024191306
 standardize, PCA, 0.8, 2, 0.39473883629220824, 0.9988152724555202, 0.6714285714285715, 0.30166666666666664, 0.7039405103963914
 standardize, PCA, 0.8, 5, 0.4874661570313744, 0.9989263407163543, 0.7433333333333334, 0.3666666666666666, 0.7186587419285074
 standardize, PCA, 0.8, 10, 0.451248719074806, 0.998648674347393, 0.5277777777777778, 0.4091666666666667, 0.7989098464485433
 standardize, PCA, 0.8, 20, 0.45076319367198125, 0.9984635628636693, 0.4573529411764706, 0.44749999999999995, 0.7233551533969784
 standardize, PCA, 0.8, None, 0.45076319367198125, 0.9984635628636693, 0.4573529411764706, 0.44749999999999995, 0.7233551533969784
 standardize, PCA, 0.9, 2, 0.39473883629220824, 0.9988152724555202, 0.6714285714285715, 0.30166666666666664, 0.7039405103963914
 standardize, PCA, 0.9, 5, 0.5187102752320144, 0.998981875703396, 0.7730952380952381, 0.39333333333333326, 0.7316207093644762
 standardize, PCA, 0.9, 10, 0.45494505494505494, 0.9985931376471019, 0.5030920060331826, 0.4208333333333333, 0.8027871365897365
 standardize, PCA, 0.9, 20, 0.4386058583611421, 0.9984450494880726, 0.4438095238095238, 0.4341666666666667, 0.7166869805666265
 standardize, PCA, 0.9, None, 0.4386058583611421, 0.9984450494880726, 0.4438095238095238, 0.4341666666666667, 0.7166869805666265
 standardize, ANOVA, 0.1, 2, 0.3717301089714883, 0.9986671808699915, 0.5853968253968255, 0.2891666666666667, 0.7745960777952853
 standardize, ANOVA, 0.1, 5, 0.5257873977873978, 0.9989263390031045, 0.7373015873015873, 0.42000000000000004, 0.8280831943028393
 standardize, ANOVA, 0.1, 10, 0.48067954911433164, 0.9988152724555202, 0.664206349206349, 0.3816666666666667, 0.7203309698149349
 standardize, ANOVA, 0.1, 20, 0.5040840385667972, 0.9987227175702831, 0.5597402597402598, 0.45999999999999996, 0.7476142367225879
 standardize, ANOVA, 0.1, None, 0.5040840385667972, 0.9987227175702831, 0.5597402597402598, 0.45999999999999996, 0.7476142367225879
 standardize, ANOVA, 0.3, 2, 0.4293058665472458, 0.9988152741687697, 0.6838095238095239, 0.32916666666666666, 0.7746486004263601
 standardize, ANOVA, 0.3, 5, 0.5968290775247298, 0.9990744323018829, 0.8091880341880341, 0.48666666666666664, 0.8502051858374271
 standardize, ANOVA, 0.3, 10, 0.5559736321026644, 0.9987967590799233, 0.5902777777777778, 0.5399999999999999, 0.7888526122285044
 standardize, ANOVA, 0.3, 20, 0.5292929292929294, 0.9986116407432007, 0.5318903318903319, 0.5525, 0.7758282355485526
 standardize, ANOVA, 0.3, None, 0.5292929292929294, 0.9986116407432007, 0.5318903318903319, 0.5525, 0.7758282355485526
 standardize, ANOVA, 0.5, 2, 0.4293058665472458, 0.9988152741687697, 0.6838095238095239, 0.32916666666666666, 0.7746486004263601
 standardize, ANOVA, 0.5, 5, 0.5505328005328005, 0.9990003873657434, 0.8071678321678322, 0.4341666666666667, 0.8368910850557667
 standardize, ANOVA, 0.5, 10, 0.535007735007735, 0.9986486709208938, 0.5368686868686869, 0.5541666666666667, 0.7766725754626627
 standardize, ANOVA, 0.5, 20, 0.5370440398381575, 0.9986671825832412, 0.5366368615904219, 0.5541666666666667, 0.7767261794420244
 standardize, ANOVA, 0.5, None, 0.5370440398381575, 0.9986671825832412, 0.5366368615904219, 0.5541666666666667, 0.7767261794420244
 standardize, ANOVA, 0.7, 2, 0.4293058665472458, 0.9988152741687697, 0.6838095238095239, 0.32916666666666666, 0.7746486004263601
 standardize, ANOVA, 0.7, 5, 0.5906666666666667, 0.9990189007413403, 0.7310256410256409, 0.5008333333333334, 0.8315196419192388
 standardize, ANOVA, 0.7, 10, 0.609700838377309, 0.9989078324805062, 0.6161960158864183, 0.62, 0.8096874903451047
 standardize, ANOVA, 0.7, 20, 0.6175327813948503, 0.9989448558052008, 0.6577777777777778, 0.6075, 0.8034978913708407
 standardize, ANOVA, 0.7, None, 0.6175327813948503, 0.9989448558052008, 0.6577777777777778, 0.6075, 0.8034978913708407
 standardize, ANOVA, 0.8, 2, 0.4293058665472458, 0.9988152741687697, 0.6838095238095239, 0.32916666666666666, 0.7746486004263601
 standardize, ANOVA, 0.8, 5, 0.6031530498487021, 0.999074435728382, 0.7728243978243978, 0.5008333333333334, 0.8373786958939661
 standardize, ANOVA, 0.8, 10, 0.590999861424778, 0.9989078307672564, 0.6354545454545455, 0.5666666666666667, 0.7830541523774215
 standardize, ANOVA, 0.8, 20, 0.5898603749191984, 0.9988522974934643, 0.6159133126934984, 0.5941666666666667, 0.7967960036456885
 standardize, ANOVA, 0.8, None, 0.5898603749191984, 0.9988522974934643, 0.6159133126934984, 0.5941666666666667, 0.7967960036456885
 standardize, ANOVA, 0.9, 2, 0.4293058665472458, 0.9988152741687697, 0.6838095238095239, 0.32916666666666666, 0.7746486004263601
 standardize, ANOVA, 0.9, 5, 0.5933581780538303, 0.9990374124036876, 0.7436324786324786, 0.5008333333333334, 0.8373533614483888
 standardize, ANOVA, 0.9, 10, 0.6018159371218326, 0.9988893225314086, 0.6103496503496504, 0.6066666666666667, 0.8030162279482189
 standardize, ANOVA, 0.9, 20, 0.591272944498751, 0.9988708108690613, 0.6209235209235209, 0.5941666666666666, 0.7968000587017642
 standardize, ANOVA, 0.9, None, 0.591272944498751, 0.9988708108690613, 0.6209235209235209, 0.5941666666666666, 0.7968000587017642
