preprocess,feature_selection,percentage_selection,solver,f1_scores(mean),accuracy(mean),precision(mean),recall(mean),roc_auc(mean)
 standardize, PCA, 0.1, newton-cg, 0.0, 0.998593141073601, 0.0, 0.0, 0.7215311891741589
 standardize, PCA, 0.1, lbfgs, 0.0, 0.998593141073601, 0.0, 0.0, 0.7215311891741589
 standardize, PCA, 0.1, sag, 0.0, 0.998593141073601, 0.0, 0.0, 0.7215311891741589
 standardize, PCA, 0.3, newton-cg, 0.0, 0.9985376112263081, 0.0, 0.0, 0.9172287360583311
 standardize, PCA, 0.3, lbfgs, 0.0, 0.9985376112263081, 0.0, 0.0, 0.9172275002317175
 standardize, PCA, 0.3, sag, 0.0, 0.9985561211754057, 0.0, 0.0, 0.943103546822381
 standardize, PCA, 0.5, newton-cg, 0.24331738437001596, 0.9986486692076444, 0.5857142857142856, 0.15666666666666665, 0.9606246331139742
 standardize, PCA, 0.5, lbfgs, 0.24331738437001596, 0.9986486692076444, 0.5857142857142856, 0.15666666666666665, 0.9606221614607471
 standardize, PCA, 0.5, sag, 0.2340262420757777, 0.9986856942455885, 0.7, 0.14416666666666664, 0.9759169833472365
 standardize, PCA, 0.7, newton-cg, 0.3471805387594861, 0.9987042059079357, 0.6237662337662337, 0.24999999999999994, 0.9547544566997251
 standardize, PCA, 0.7, lbfgs, 0.3471805387594861, 0.9987042059079357, 0.6237662337662337, 0.24999999999999994, 0.9548371026045045
 standardize, PCA, 0.7, sag, 0.24787878787878787, 0.9986671842964909, 0.6357142857142857, 0.1575, 0.9726601167856149
 standardize, PCA, 0.8, newton-cg, 0.37293811451706194, 0.9987412292326304, 0.6364646464646465, 0.27666666666666667, 0.9598160163129114
 standardize, PCA, 0.8, lbfgs, 0.37293811451706194, 0.9987412292326304, 0.6364646464646465, 0.27666666666666667, 0.9597164550313592
 standardize, PCA, 0.8, sag, 0.26406926406926406, 0.9986856942455885, 0.6457142857142857, 0.17, 0.9731438656656473
 standardize, PCA, 0.9, newton-cg, 0.4917964476408412, 0.9989448540919511, 0.7980952380952381, 0.3683333333333333, 0.9576478357586431
 standardize, PCA, 0.9, lbfgs, 0.4887195245639181, 0.998926342429604, 0.789004329004329, 0.3683333333333333, 0.9573565668736677
 standardize, PCA, 0.9, sag, 0.25162907268170426, 0.9987042059079357, 0.6599999999999999, 0.15666666666666668, 0.9738320666110545
 standardize, ANOVA, 0.1, newton-cg, 0.4413152446333225, 0.9988708074425621, 0.7103174603174602, 0.3283333333333333, 0.9812608907220316
 standardize, ANOVA, 0.1, lbfgs, 0.4413152446333225, 0.9988708074425621, 0.7103174603174602, 0.3283333333333333, 0.9812695415083263
 standardize, ANOVA, 0.1, sag, 0.4167388167388168, 0.9988708091558116, 0.7206349206349206, 0.3025, 0.9702754734760713
 standardize, ANOVA, 0.3, newton-cg, 0.46789905746427474, 0.9988893191049094, 0.7197402597402597, 0.355, 0.9752316402508729
 standardize, ANOVA, 0.3, lbfgs, 0.46789905746427474, 0.9988893191049094, 0.7197402597402597, 0.355, 0.9750636450705965
 standardize, ANOVA, 0.3, sag, 0.41233766233766234, 0.9988708091558116, 0.788888888888889, 0.2891666666666667, 0.9612824790681869
 standardize, ANOVA, 0.5, newton-cg, 0.570120082815735, 0.9990744305886332, 0.8283333333333334, 0.445, 0.9827436895603547
 standardize, ANOVA, 0.5, lbfgs, 0.5817142857142857, 0.9990929422509804, 0.8311111111111111, 0.4583333333333333, 0.9812882720054376
 standardize, ANOVA, 0.5, sag, 0.5248864468864469, 0.998981875703396, 0.7644444444444445, 0.4066666666666666, 0.9711535669045632
 standardize, ANOVA, 0.7, newton-cg, 0.632985088985089, 0.9991484772380224, 0.8125396825396827, 0.525, 0.9833307072017796
 standardize, ANOVA, 0.7, lbfgs, 0.6282420059811364, 0.999129965575675, 0.7911111111111111, 0.525, 0.983800861989063
 standardize, ANOVA, 0.7, sag, 0.5580187928014015, 0.9990559223527852, 0.8153030303030302, 0.4333333333333334, 0.9778854234250934
 standardize, ANOVA, 0.8, newton-cg, 0.632985088985089, 0.9991484772380224, 0.8125396825396827, 0.525, 0.9833307072017796
 standardize, ANOVA, 0.8, lbfgs, 0.6282420059811364, 0.999129965575675, 0.7911111111111111, 0.525, 0.9837662588438842
 standardize, ANOVA, 0.8, sag, 0.5580187928014015, 0.9990559223527852, 0.8153030303030302, 0.4333333333333334, 0.9782040349738932
 standardize, ANOVA, 0.9, newton-cg, 0.632985088985089, 0.9991484772380224, 0.8125396825396827, 0.525, 0.9833307072017796
 standardize, ANOVA, 0.9, lbfgs, 0.6456333103289624, 0.9991669889003696, 0.8161111111111111, 0.5383333333333333, 0.9837514289245218
 standardize, ANOVA, 0.9, sag, 0.5427806975633063, 0.9990374106904378, 0.8086363636363636, 0.42000000000000004, 0.97724395217351
